 n      fib(n)           method         time  
59    9.567e+11    recursive_tail       0.001 
60    1.548e+12    iterative            0.000 
60    1.548e+12    recursive_memoized   0.000 
60    1.548e+12    recursive_tail       0.001 
61    2.505e+12    iterative            0.000 
61    2.505e+12    recursive_memoized   0.000 
61    2.505e+12    recursive_tail       0.001 
62    4.053e+12    iterative            0.000 
62    4.053e+12    recursive_memoized   0.000 
62    4.053e+12    recursive_tail       0.001 
63    6.557e+12    iterative            0.000 
63    6.557e+12    recursive_memoized   0.000 
63    6.557e+12    recursive_tail       0.001 
64    1.061e+13    iterative            0.000 
64    1.061e+13    recursive_memoized   0.000 
64    1.061e+13    recursive_tail       0.001 
65    1.717e+13    iterative            0.001 
65    1.717e+13    recursive_memoized   0.000 
65    1.717e+13    recursive_tail       0.001 
66    2.778e+13    iterative            0.001 
66    2.778e+13    recursive_memoized   0.000 
66    2.778e+13    recursive_tail       0.001 
67    4.495e+13    iterative            0.000 
67    4.495e+13    recursive_memoized   0.000 
67    4.495e+13    recursive_tail       0.001 
68    7.272e+13    iterative            0.001 
68    7.272e+13    recursive_memoized   0.000 
68    7.272e+13    recursive_tail       0.001 
69    1.177e+14    iterative            0.001 
69    1.177e+14    recursive_memoized   0.000 
69    1.177e+14    recursive_tail       0.001 
70    1.904e+14    iterative            0.001 
70    1.904e+14    recursive_memoized   0.000 
70    1.904e+14    recursive_tail       0.001 
71    3.081e+14    iterative            0.001 
71    3.081e+14    recursive_memoized   0.000 
71    3.081e+14    recursive_tail       0.001 
72    4.985e+14    iterative            0.001 
72    4.985e+14    recursive_memoized   0.000 
72    4.985e+14    recursive_tail       0.001 
73    8.065e+14    iterative            0.001 
73    8.065e+14    recursive_memoized   0.000 
73    8.065e+14    recursive_tail       0.001 
74    1.305e+15    iterative            0.001 
74    1.305e+15    recursive_memoized   0.000 
74    1.305e+15    recursive_tail       0.001 
75    2.111e+15    iterative            0.001 
75    2.111e+15    recursive_memoized   0.000 
75    2.111e+15    recursive_tail       0.001 
76    3.416e+15    iterative            0.001 
76    3.416e+15    recursive_memoized   0.000 
76    3.416e+15    recursive_tail       0.001 
77    5.528e+15    iterative            0.001 
77    5.528e+15    recursive_memoized   0.000 
77    5.528e+15    recursive_tail       0.001 
78    8.944e+15    iterative            0.001 
78    8.944e+15    recursive_memoized   0.000 
78    8.944e+15    recursive_tail       0.001 
79    1.447e+16    iterative            0.001 
79    1.447e+16    recursive_memoized   0.000 
79    1.447e+16    recursive_tail       0.001 
80    2.342e+16    iterative            0.001 
80    2.342e+16    recursive_memoized   0.000 
80    2.342e+16    recursive_tail       0.001 
81    3.789e+16    iterative            0.001 
81    3.789e+16    recursive_memoized   0.000 
81    3.789e+16    recursive_tail       0.001 
82    6.131e+16    iterative            0.001 
82    6.131e+16    recursive_memoized   0.000 
82    6.131e+16    recursive_tail       0.001 
83    9.919e+16    iterative            0.001 
83    9.919e+16    recursive_memoized   0.000 
83    9.919e+16    recursive_tail       0.001 
84    1.605e+17    iterative            0.001 
84    1.605e+17    recursive_memoized   0.000 
84    1.605e+17    recursive_tail       0.001 
85    2.597e+17    iterative            0.001 
85    2.597e+17    recursive_memoized   0.000 
85    2.597e+17    recursive_tail       0.001 
86    4.202e+17    iterative            0.001 
86    4.202e+17    recursive_memoized   0.000 
86    4.202e+17    recursive_tail       0.002 
87    6.799e+17    iterative            0.001 
87    6.799e+17    recursive_memoized   0.000 
87    6.799e+17    recursive_tail       0.001 
88    1.100e+18    iterative            0.001 
88    1.100e+18    recursive_memoized   0.000 
88    1.100e+18    recursive_tail       0.002 
89    1.780e+18    iterative            0.001 
89    1.780e+18    recursive_memoized   0.000 
89    1.780e+18    recursive_tail       0.002 
90    2.880e+18    iterative            0.001 
90    2.880e+18    recursive_memoized   0.000 
90    2.880e+18    recursive_tail       0.002 
91    4.660e+18    iterative            0.001 
91    4.660e+18    recursive_memoized   0.000 
91    4.660e+18    recursive_tail       0.002 
92    7.540e+18    iterative            0.001 
92    7.540e+18    recursive_memoized   0.000 
92    7.540e+18    recursive_tail       0.002 
93    1.220e+19    iterative            0.001 
93    1.220e+19    recursive_memoized   0.000 
93    1.220e+19    recursive_tail       0.002 
94    1.974e+19    iterative            0.001 
94    1.974e+19    recursive_memoized   0.000 
94    1.974e+19    recursive_tail       0.002 
95    3.194e+19    iterative            0.001 
95    3.194e+19    recursive_memoized   0.000 
95    3.194e+19    recursive_tail       0.002 
96    5.168e+19    iterative            0.001 
96    5.168e+19    recursive_memoized   0.000 
96    5.168e+19    recursive_tail       0.002 
97    8.362e+19    iterative            0.001 
97    8.362e+19    recursive_memoized   0.000 
97    8.362e+19    recursive_tail       0.002 
98    1.353e+20    iterative            0.001 
98    1.353e+20    recursive_memoized   0.000 
98    1.353e+20    recursive_tail       0.002 
99    2.189e+20    iterative            0.001 
99    2.189e+20    recursive_memoized   0.000 
99    2.189e+20    recursive_tail       0.002 
100   3.542e+20    iterative            0.001 
100   3.542e+20    recursive_memoized   0.000 
100   3.542e+20    recursive_tail       0.002 
101   5.731e+20    iterative            0.001 
101   5.731e+20    recursive_memoized   0.000 
101   5.731e+20    recursive_tail       0.002 
102   9.274e+20    iterative            0.001 
102   9.274e+20    recursive_memoized   0.000 
102   9.274e+20    recursive_tail       0.002 
103   1.501e+21    iterative            0.001 
103   1.501e+21    recursive_memoized   0.000 
103   1.501e+21    recursive_tail       0.002 
104   2.428e+21    iterative            0.001 
104   2.428e+21    recursive_memoized   0.000 
104   2.428e+21    recursive_tail       0.002 
105   3.928e+21    iterative            0.001 
105   3.928e+21    recursive_memoized   0.000 
105   3.928e+21    recursive_tail       0.002 
106   6.356e+21    iterative            0.001 
106   6.356e+21    recursive_memoized   0.000 
106   6.356e+21    recursive_tail       0.002 
107   1.028e+22    iterative            0.001 
107   1.028e+22    recursive_memoized   0.000 
107   1.028e+22    recursive_tail       0.002 
108   1.664e+22    iterative            0.001 
108   1.664e+22    recursive_memoized   0.000 
108   1.664e+22    recursive_tail       0.002 
109   2.693e+22    iterative            0.001 
109   2.693e+22    recursive_memoized   0.000 
109   2.693e+22    recursive_tail       0.002 
110   4.357e+22    iterative            0.001 
110   4.357e+22    recursive_memoized   0.000 
110   4.357e+22    recursive_tail       0.002 
111   7.049e+22    iterative            0.001 
111   7.049e+22    recursive_memoized   0.000 
111   7.049e+22    recursive_tail       0.002 
112   1.141e+23    iterative            0.001 
112   1.141e+23    recursive_memoized   0.000 
112   1.141e+23    recursive_tail       0.002 
113   1.846e+23    iterative            0.001 
113   1.846e+23    recursive_memoized   0.000 
113   1.846e+23    recursive_tail       0.002 
114   2.986e+23    iterative            0.001 
114   2.986e+23    recursive_memoized   0.000 
114   2.986e+23    recursive_tail       0.002 
115   4.832e+23    iterative            0.001 
115   4.832e+23    recursive_memoized   0.000 
115   4.832e+23    recursive_tail       0.002 
116   7.818e+23    iterative            0.001 
116   7.818e+23    recursive_memoized   0.000 
116   7.818e+23    recursive_tail       0.002 
117   1.265e+24    iterative            0.001 
117   1.265e+24    recursive_memoized   0.000 
117   1.265e+24    recursive_tail       0.002 
118   2.047e+24    iterative            0.001 
118   2.047e+24    recursive_memoized   0.000 
118   2.047e+24    recursive_tail       0.002 
119   3.312e+24    iterative            0.001 
119   3.312e+24    recursive_memoized   0.000 
119   3.312e+24    recursive_tail       0.002 
120   5.358e+24    iterative            0.001 
120   5.358e+24    recursive_memoized   0.000 
120   5.358e+24    recursive_tail       0.002 
121   8.670e+24    iterative            0.001 
121   8.670e+24    recursive_memoized   0.000 
121   8.670e+24    recursive_tail       0.002 
122   1.403e+25    iterative            0.001 
122   1.403e+25    recursive_memoized   0.000 
122   1.403e+25    recursive_tail       0.002 
123   2.270e+25    iterative            0.001 
123   2.270e+25    recursive_memoized   0.000 
123   2.270e+25    recursive_tail       0.002 
124   3.673e+25    iterative            0.001 
124   3.673e+25    recursive_memoized   0.000 
124   3.673e+25    recursive_tail       0.002 
125   5.943e+25    iterative            0.001 
125   5.943e+25    recursive_memoized   0.000 
125   5.943e+25    recursive_tail       0.002 
126   9.615e+25    iterative            0.001 
126   9.615e+25    recursive_memoized   0.000 
126   9.615e+25    recursive_tail       0.002 
127   1.556e+26    iterative            0.001 
127   1.556e+26    recursive_memoized   0.000 
127   1.556e+26    recursive_tail       0.002 
128   2.517e+26    iterative            0.001 
128   2.517e+26    recursive_memoized   0.000 
128   2.517e+26    recursive_tail       0.002 
129   4.073e+26    iterative            0.001 
129   4.073e+26    recursive_memoized   0.000 
129   4.073e+26    recursive_tail       0.002 
130   6.590e+26    iterative            0.001 
130   6.590e+26    recursive_memoized   0.000 
130   6.590e+26    recursive_tail       0.002 
131   1.066e+27    iterative            0.001 
131   1.066e+27    recursive_memoized   0.000 
131   1.066e+27    recursive_tail       0.002 
132   1.725e+27    iterative            0.001 
132   1.725e+27    recursive_memoized   0.000 
132   1.725e+27    recursive_tail       0.002 
133   2.792e+27    iterative            0.001 
133   2.792e+27    recursive_memoized   0.000 
133   2.792e+27    recursive_tail       0.002 
134   4.517e+27    iterative            0.001 
134   4.517e+27    recursive_memoized   0.000 
134   4.517e+27    recursive_tail       0.002 
135   7.309e+27    iterative            0.001 
135   7.309e+27    recursive_memoized   0.000 
135   7.309e+27    recursive_tail       0.002 
136   1.183e+28    iterative            0.001 
136   1.183e+28    recursive_memoized   0.000 
136   1.183e+28    recursive_tail       0.002 
137   1.913e+28    iterative            0.001 
137   1.913e+28    recursive_memoized   0.000 
137   1.913e+28    recursive_tail       0.003 
138   3.096e+28    iterative            0.001 
138   3.096e+28    recursive_memoized   0.000 
138   3.096e+28    recursive_tail       0.003 
139   5.010e+28    iterative            0.001 
139   5.010e+28    recursive_memoized   0.000 
139   5.010e+28    recursive_tail       0.003 
140   8.106e+28    iterative            0.001 
140   8.106e+28    recursive_memoized   0.000 
140   8.106e+28    recursive_tail       0.003 
141   1.312e+29    iterative            0.001 
141   1.312e+29    recursive_memoized   0.000 
141   1.312e+29    recursive_tail       0.003 
142   2.122e+29    iterative            0.001 
142   2.122e+29    recursive_memoized   0.000 
142   2.122e+29    recursive_tail       0.003 
143   3.434e+29    iterative            0.001 
143   3.434e+29    recursive_memoized   0.000 
143   3.434e+29    recursive_tail       0.003 
144   5.556e+29    iterative            0.001 
144   5.556e+29    recursive_memoized   0.000 
144   5.556e+29    recursive_tail       0.003 
145   8.989e+29    iterative            0.001 
145   8.989e+29    recursive_memoized   0.000 
145   8.989e+29    recursive_tail       0.003 
146   1.454e+30    iterative            0.001 
146   1.454e+30    recursive_memoized   0.000 
146   1.454e+30    recursive_tail       0.003 
147   2.353e+30    iterative            0.001 
147   2.353e+30    recursive_memoized   0.000 
147   2.353e+30    recursive_tail       0.003 
148   3.808e+30    iterative            0.001 
148   3.808e+30    recursive_memoized   0.000 
148   3.808e+30    recursive_tail       0.003 
149   6.161e+30    iterative            0.001 
149   6.161e+30    recursive_memoized   0.000 
149   6.161e+30    recursive_tail       0.003 
150   9.969e+30    iterative            0.001 
150   9.969e+30    recursive_memoized   0.000 
150   9.969e+30    recursive_tail       0.003 
151   1.613e+31    iterative            0.001 
151   1.613e+31    recursive_memoized   0.000 
151   1.613e+31    recursive_tail       0.003 
152   2.610e+31    iterative            0.002 
152   2.610e+31    recursive_memoized   0.000 
152   2.610e+31    recursive_tail       0.004 
153   4.223e+31    iterative            0.001 
153   4.223e+31    recursive_memoized   0.000 
153   4.223e+31    recursive_tail       0.003 
154   6.833e+31    iterative            0.001 
154   6.833e+31    recursive_memoized   0.000 
154   6.833e+31    recursive_tail       0.003 
155   1.106e+32    iterative            0.001 
155   1.106e+32    recursive_memoized   0.000 
155   1.106e+32    recursive_tail       0.003 
156   1.789e+32    iterative            0.001 
156   1.789e+32    recursive_memoized   0.000 
156   1.789e+32    recursive_tail       0.003 
157   2.895e+32    iterative            0.001 
157   2.895e+32    recursive_memoized   0.000 
157   2.895e+32    recursive_tail       0.003 
158   4.683e+32    iterative            0.001 
158   4.683e+32    recursive_memoized   0.000 
158   4.683e+32    recursive_tail       0.003 
159   7.578e+32    iterative            0.001 
159   7.578e+32    recursive_memoized   0.000 
159   7.578e+32    recursive_tail       0.003 
160   1.226e+33    iterative            0.001 
160   1.226e+33    recursive_memoized   0.000 
160   1.226e+33    recursive_tail       0.003 
161   1.984e+33    iterative            0.001 
161   1.984e+33    recursive_memoized   0.000 
161   1.984e+33    recursive_tail       0.003 
162   3.210e+33    iterative            0.001 
162   3.210e+33    recursive_memoized   0.000 
162   3.210e+33    recursive_tail       0.003 
163   5.194e+33    iterative            0.001 
163   5.194e+33    recursive_memoized   0.000 
163   5.194e+33    recursive_tail       0.003 
164   8.404e+33    iterative            0.001 
164   8.404e+33    recursive_memoized   0.000 
164   8.404e+33    recursive_tail       0.003 
165   1.360e+34    iterative            0.001 
165   1.360e+34    recursive_memoized   0.000 
165   1.360e+34    recursive_tail       0.003 
166   2.200e+34    iterative            0.001 
166   2.200e+34    recursive_memoized   0.000 
166   2.200e+34    recursive_tail       0.003 
167   3.560e+34    iterative            0.001 
167   3.560e+34    recursive_memoized   0.000 
167   3.560e+34    recursive_tail       0.003 
168   5.760e+34    iterative            0.001 
168   5.760e+34    recursive_memoized   0.000 
168   5.760e+34    recursive_tail       0.003 
169   9.320e+34    iterative            0.001 
169   9.320e+34    recursive_memoized   0.000 
169   9.320e+34    recursive_tail       0.003 
170   1.508e+35    iterative            0.002 
170   1.508e+35    recursive_memoized   0.000 
170   1.508e+35    recursive_tail       0.003 
171   2.440e+35    iterative            0.001 
171   2.440e+35    recursive_memoized   0.000 
171   2.440e+35    recursive_tail       0.003 
172   3.948e+35    iterative            0.002 
172   3.948e+35    recursive_memoized   0.000 
172   3.948e+35    recursive_tail       0.003 
173   6.388e+35    iterative            0.002 
173   6.388e+35    recursive_memoized   0.000 
173   6.388e+35    recursive_tail       0.003 
174   1.034e+36    iterative            0.002 
174   1.034e+36    recursive_memoized   0.000 
174   1.034e+36    recursive_tail       0.003 
175   1.672e+36    iterative            0.002 
175   1.672e+36    recursive_memoized   0.000 
175   1.672e+36    recursive_tail       0.003 
176   2.706e+36    iterative            0.002 
176   2.706e+36    recursive_memoized   0.000 
176   2.706e+36    recursive_tail       0.003 
177   4.379e+36    iterative            0.002 
177   4.379e+36    recursive_memoized   0.000 
177   4.379e+36    recursive_tail       0.003 
178   7.085e+36    iterative            0.002 
178   7.085e+36    recursive_memoized   0.000 
178   7.085e+36    recursive_tail       0.003 
179   1.146e+37    iterative            0.002 
179   1.146e+37    recursive_memoized   0.000 
179   1.146e+37    recursive_tail       0.004 
180   1.855e+37    iterative            0.002 
180   1.855e+37    recursive_memoized   0.000 
180   1.855e+37    recursive_tail       0.004 
181   3.001e+37    iterative            0.002 
181   3.001e+37    recursive_memoized   0.000 
181   3.001e+37    recursive_tail       0.004 
182   4.856e+37    iterative            0.002 
182   4.856e+37    recursive_memoized   0.000 
182   4.856e+37    recursive_tail       0.004 
183   7.857e+37    iterative            0.002 
183   7.857e+37    recursive_memoized   0.000 
183   7.857e+37    recursive_tail       0.004 
184   1.271e+38    iterative            0.002 
184   1.271e+38    recursive_memoized   0.000 
184   1.271e+38    recursive_tail       0.004 
185   2.057e+38    iterative            0.002 
185   2.057e+38    recursive_memoized   0.000 
185   2.057e+38    recursive_tail       0.004 
186   3.328e+38    iterative            0.002 
186   3.328e+38    recursive_memoized   0.000 
186   3.328e+38    recursive_tail       0.004 
187   5.385e+38    iterative            0.002 
187   5.385e+38    recursive_memoized   0.000 
187   5.385e+38    recursive_tail       0.004 
188   8.713e+38    iterative            0.002 
188   8.713e+38    recursive_memoized   0.000 
188   8.713e+38    recursive_tail       0.004 
189   1.410e+39    iterative            0.002 
189   1.410e+39    recursive_memoized   0.000 
189   1.410e+39    recursive_tail       0.004 
190   2.281e+39    iterative            0.002 
190   2.281e+39    recursive_memoized   0.000 
190   2.281e+39    recursive_tail       0.004 
191   3.691e+39    iterative            0.002 
191   3.691e+39    recursive_memoized   0.000 
191   3.691e+39    recursive_tail       0.004 
192   5.972e+39    iterative            0.002 
192   5.972e+39    recursive_memoized   0.000 
192   5.972e+39    recursive_tail       0.004 
193   9.663e+39    iterative            0.002 
193   9.663e+39    recursive_memoized   0.000 
193   9.663e+39    recursive_tail       0.004 
194   1.564e+40    iterative            0.002 
194   1.564e+40    recursive_memoized   0.000 
194   1.564e+40    recursive_tail       0.004 
195   2.530e+40    iterative            0.002 
195   2.530e+40    recursive_memoized   0.000 
195   2.530e+40    recursive_tail       0.004 
196   4.093e+40    iterative            0.002 
196   4.093e+40    recursive_memoized   0.000 
196   4.093e+40    recursive_tail       0.004 
197   6.623e+40    iterative            0.002 
197   6.623e+40    recursive_memoized   0.000 
197   6.623e+40    recursive_tail       0.004 
198   1.072e+41    iterative            0.002 
198   1.072e+41    recursive_memoized   0.000 
198   1.072e+41    recursive_tail       0.004 
199   1.734e+41    iterative            0.002 
199   1.734e+41    recursive_memoized   0.000 
199   1.734e+41    recursive_tail       0.004 
200   2.806e+41    iterative            0.002 
200   2.806e+41    recursive_memoized   0.000 
200   2.806e+41    recursive_tail       0.004 
201   4.540e+41    iterative            0.002 
201   4.540e+41    recursive_memoized   0.000 
201   4.540e+41    recursive_tail       0.004 
202   7.345e+41    iterative            0.002 
202   7.345e+41    recursive_memoized   0.000 
202   7.345e+41    recursive_tail       0.004 
203   1.189e+42    iterative            0.002 
203   1.189e+42    recursive_memoized   0.000 
203   1.189e+42    recursive_tail       0.004 
204   1.923e+42    iterative            0.002 
204   1.923e+42    recursive_memoized   0.000 
204   1.923e+42    recursive_tail       0.004 
205   3.112e+42    iterative            0.002 
205   3.112e+42    recursive_memoized   0.000 
205   3.112e+42    recursive_tail       0.004 
206   5.035e+42    iterative            0.002 
206   5.035e+42    recursive_memoized   0.000 
206   5.035e+42    recursive_tail       0.004 
207   8.146e+42    iterative            0.002 
207   8.146e+42    recursive_memoized   0.000 
207   8.146e+42    recursive_tail       0.004 
208   1.318e+43    iterative            0.002 
208   1.318e+43    recursive_memoized   0.000 
208   1.318e+43    recursive_tail       0.004 
209   2.133e+43    iterative            0.002 
209   2.133e+43    recursive_memoized   0.000 
209   2.133e+43    recursive_tail       0.004 
210   3.451e+43    iterative            0.002 
210   3.451e+43    recursive_memoized   0.000 
210   3.451e+43    recursive_tail       0.004 
211   5.584e+43    iterative            0.002 
211   5.584e+43    recursive_memoized   0.000 
211   5.584e+43    recursive_tail       0.004 
212   9.034e+43    iterative            0.002 
212   9.034e+43    recursive_memoized   0.000 
212   9.034e+43    recursive_tail       0.004 
213   1.462e+44    iterative            0.002 
213   1.462e+44    recursive_memoized   0.000 
213   1.462e+44    recursive_tail       0.004 
214   2.365e+44    iterative            0.002 
214   2.365e+44    recursive_memoized   0.000 
214   2.365e+44    recursive_tail       0.004 
215   3.827e+44    iterative            0.002 
215   3.827e+44    recursive_memoized   0.000 
215   3.827e+44    recursive_tail       0.004 
216   6.192e+44    iterative            0.002 
216   6.192e+44    recursive_memoized   0.000 
216   6.192e+44    recursive_tail       0.004 
217   1.002e+45    iterative            0.002 
217   1.002e+45    recursive_memoized   0.000 
217   1.002e+45    recursive_tail       0.004 
218   1.621e+45    iterative            0.002 
218   1.621e+45    recursive_memoized   0.000 
218   1.621e+45    recursive_tail       0.004 
219   2.623e+45    iterative            0.002 
219   2.623e+45    recursive_memoized   0.000 
219   2.623e+45    recursive_tail       0.004 
220   4.244e+45    iterative            0.002 
220   4.244e+45    recursive_memoized   0.000 
220   4.244e+45    recursive_tail       0.004 
221   6.867e+45    iterative            0.002 
221   6.867e+45    recursive_memoized   0.000 
221   6.867e+45    recursive_tail       0.004 
222   1.111e+46    iterative            0.002 
222   1.111e+46    recursive_memoized   0.000 
222   1.111e+46    recursive_tail       0.004 
223   1.798e+46    iterative            0.002 
223   1.798e+46    recursive_memoized   0.000 
223   1.798e+46    recursive_tail       0.005 
224   2.909e+46    iterative            0.002 
224   2.909e+46    recursive_memoized   0.000 
224   2.909e+46    recursive_tail       0.005 
225   4.707e+46    iterative            0.002 
225   4.707e+46    recursive_memoized   0.000 
225   4.707e+46    recursive_tail       0.005 
226   7.616e+46    iterative            0.002 
226   7.616e+46    recursive_memoized   0.000 
226   7.616e+46    recursive_tail       0.005 
227   1.232e+47    iterative            0.002 
227   1.232e+47    recursive_memoized   0.000 
227   1.232e+47    recursive_tail       0.005 
228   1.994e+47    iterative            0.002 
228   1.994e+47    recursive_memoized   0.000 
228   1.994e+47    recursive_tail       0.005 
229   3.226e+47    iterative            0.002 
229   3.226e+47    recursive_memoized   0.000 
229   3.226e+47    recursive_tail       0.005 
230   5.220e+47    iterative            0.002 
230   5.220e+47    recursive_memoized   0.000 
230   5.220e+47    recursive_tail       0.005 
231   8.446e+47    iterative            0.002 
231   8.446e+47    recursive_memoized   0.000 
231   8.446e+47    recursive_tail       0.005 
232   1.367e+48    iterative            0.002 
232   1.367e+48    recursive_memoized   0.000 
232   1.367e+48    recursive_tail       0.005 
233   2.211e+48    iterative            0.002 
233   2.211e+48    recursive_memoized   0.000 
233   2.211e+48    recursive_tail       0.005 
234   3.578e+48    iterative            0.002 
234   3.578e+48    recursive_memoized   0.000 
234   3.578e+48    recursive_tail       0.005 
235   5.789e+48    iterative            0.002 
235   5.789e+48    recursive_memoized   0.000 
235   5.789e+48    recursive_tail       0.005 
236   9.367e+48    iterative            0.002 
