 n      fib(n)           method         time  
236   9.367e+48    recursive_memoized   0.000 
236   9.367e+48    recursive_tail       0.005 
237   1.516e+49    iterative            0.002 
237   1.516e+49    recursive_memoized   0.000 
237   1.516e+49    recursive_tail       0.005 
238   2.452e+49    iterative            0.002 
238   2.452e+49    recursive_memoized   0.000 
238   2.452e+49    recursive_tail       0.005 
239   3.968e+49    iterative            0.002 
239   3.968e+49    recursive_memoized   0.000 
239   3.968e+49    recursive_tail       0.005 
240   6.420e+49    iterative            0.002 
240   6.420e+49    recursive_memoized   0.000 
240   6.420e+49    recursive_tail       0.005 
241   1.039e+50    iterative            0.002 
241   1.039e+50    recursive_memoized   0.000 
241   1.039e+50    recursive_tail       0.005 
242   1.681e+50    iterative            0.002 
242   1.681e+50    recursive_memoized   0.000 
242   1.681e+50    recursive_tail       0.005 
243   2.720e+50    iterative            0.002 
243   2.720e+50    recursive_memoized   0.000 
243   2.720e+50    recursive_tail       0.005 
244   4.400e+50    iterative            0.002 
244   4.400e+50    recursive_memoized   0.000 
244   4.400e+50    recursive_tail       0.005 
245   7.120e+50    iterative            0.002 
245   7.120e+50    recursive_memoized   0.000 
245   7.120e+50    recursive_tail       0.005 
246   1.152e+51    iterative            0.002 
246   1.152e+51    recursive_memoized   0.000 
246   1.152e+51    recursive_tail       0.005 
247   1.864e+51    iterative            0.002 
247   1.864e+51    recursive_memoized   0.000 
247   1.864e+51    recursive_tail       0.005 
248   3.016e+51    iterative            0.002 
248   3.016e+51    recursive_memoized   0.000 
248   3.016e+51    recursive_tail       0.005 
249   4.880e+51    iterative            0.002 
249   4.880e+51    recursive_memoized   0.000 
249   4.880e+51    recursive_tail       0.005 
250   7.896e+51    iterative            0.002 
250   7.896e+51    recursive_memoized   0.000 
250   7.896e+51    recursive_tail       0.005 
251   1.278e+52    iterative            0.002 
251   1.278e+52    recursive_memoized   0.000 
251   1.278e+52    recursive_tail       0.005 
252   2.067e+52    iterative            0.002 
252   2.067e+52    recursive_memoized   0.000 
252   2.067e+52    recursive_tail       0.005 
253   3.345e+52    iterative            0.002 
253   3.345e+52    recursive_memoized   0.000 
253   3.345e+52    recursive_tail       0.005 
254   5.412e+52    iterative            0.002 
254   5.412e+52    recursive_memoized   0.000 
254   5.412e+52    recursive_tail       0.005 
255   8.757e+52    iterative            0.002 
255   8.757e+52    recursive_memoized   0.000 
255   8.757e+52    recursive_tail       0.006 
256   1.417e+53    iterative            0.002 
256   1.417e+53    recursive_memoized   0.000 
256   1.417e+53    recursive_tail       0.005 
257   2.293e+53    iterative            0.002 
257   2.293e+53    recursive_memoized   0.000 
257   2.293e+53    recursive_tail       0.005 
258   3.710e+53    iterative            0.002 
258   3.710e+53    recursive_memoized   0.000 
258   3.710e+53    recursive_tail       0.006 
259   6.002e+53    iterative            0.002 
259   6.002e+53    recursive_memoized   0.000 
259   6.002e+53    recursive_tail       0.006 
260   9.712e+53    iterative            0.002 
260   9.712e+53    recursive_memoized   0.000 
260   9.712e+53    recursive_tail       0.006 
261   1.571e+54    iterative            0.002 
261   1.571e+54    recursive_memoized   0.000 
261   1.571e+54    recursive_tail       0.006 
262   2.543e+54    iterative            0.003 
262   2.543e+54    recursive_memoized   0.000 
262   2.543e+54    recursive_tail       0.006 
263   4.114e+54    iterative            0.003 
263   4.114e+54    recursive_memoized   0.000 
263   4.114e+54    recursive_tail       0.006 
264   6.657e+54    iterative            0.002 
264   6.657e+54    recursive_memoized   0.000 
264   6.657e+54    recursive_tail       0.006 
265   1.077e+55    iterative            0.003 
265   1.077e+55    recursive_memoized   0.000 
265   1.077e+55    recursive_tail       0.006 
266   1.743e+55    iterative            0.002 
266   1.743e+55    recursive_memoized   0.000 
266   1.743e+55    recursive_tail       0.006 
267   2.820e+55    iterative            0.002 
267   2.820e+55    recursive_memoized   0.000 
267   2.820e+55    recursive_tail       0.006 
268   4.562e+55    iterative            0.002 
268   4.562e+55    recursive_memoized   0.000 
268   4.562e+55    recursive_tail       0.006 
269   7.382e+55    iterative            0.002 
269   7.382e+55    recursive_memoized   0.000 
269   7.382e+55    recursive_tail       0.006 
270   1.194e+56    iterative            0.002 
270   1.194e+56    recursive_memoized   0.000 
270   1.194e+56    recursive_tail       0.006 
271   1.933e+56    iterative            0.003 
271   1.933e+56    recursive_memoized   0.000 
271   1.933e+56    recursive_tail       0.006 
272   3.127e+56    iterative            0.003 
272   3.127e+56    recursive_memoized   0.000 
272   3.127e+56    recursive_tail       0.006 
273   5.060e+56    iterative            0.003 
273   5.060e+56    recursive_memoized   0.000 
273   5.060e+56    recursive_tail       0.006 
274   8.187e+56    iterative            0.003 
274   8.187e+56    recursive_memoized   0.000 
274   8.187e+56    recursive_tail       0.006 
275   1.325e+57    iterative            0.003 
275   1.325e+57    recursive_memoized   0.000 
275   1.325e+57    recursive_tail       0.006 
276   2.143e+57    iterative            0.003 
276   2.143e+57    recursive_memoized   0.000 
276   2.143e+57    recursive_tail       0.006 
277   3.468e+57    iterative            0.003 
277   3.468e+57    recursive_memoized   0.000 
277   3.468e+57    recursive_tail       0.006 
278   5.612e+57    iterative            0.003 
278   5.612e+57    recursive_memoized   0.000 
278   5.612e+57    recursive_tail       0.006 
279   9.080e+57    iterative            0.003 
279   9.080e+57    recursive_memoized   0.000 
279   9.080e+57    recursive_tail       0.006 
280   1.469e+58    iterative            0.003 
280   1.469e+58    recursive_memoized   0.000 
280   1.469e+58    recursive_tail       0.006 
281   2.377e+58    iterative            0.003 
281   2.377e+58    recursive_memoized   0.000 
281   2.377e+58    recursive_tail       0.006 
282   3.846e+58    iterative            0.003 
282   3.846e+58    recursive_memoized   0.000 
282   3.846e+58    recursive_tail       0.006 
283   6.223e+58    iterative            0.003 
283   6.223e+58    recursive_memoized   0.000 
283   6.223e+58    recursive_tail       0.006 
284   1.007e+59    iterative            0.003 
284   1.007e+59    recursive_memoized   0.000 
284   1.007e+59    recursive_tail       0.006 
285   1.629e+59    iterative            0.003 
285   1.629e+59    recursive_memoized   0.000 
285   1.629e+59    recursive_tail       0.006 
286   2.636e+59    iterative            0.003 
286   2.636e+59    recursive_memoized   0.000 
286   2.636e+59    recursive_tail       0.006 
287   4.265e+59    iterative            0.003 
287   4.265e+59    recursive_memoized   0.000 
287   4.265e+59    recursive_tail       0.006 
288   6.902e+59    iterative            0.003 
288   6.902e+59    recursive_memoized   0.000 
288   6.902e+59    recursive_tail       0.006 
289   1.117e+60    iterative            0.003 
289   1.117e+60    recursive_memoized   0.000 
289   1.117e+60    recursive_tail       0.006 
290   1.807e+60    iterative            0.003 
290   1.807e+60    recursive_memoized   0.000 
290   1.807e+60    recursive_tail       0.007 
291   2.924e+60    iterative            0.003 
291   2.924e+60    recursive_memoized   0.000 
291   2.924e+60    recursive_tail       0.007 
292   4.730e+60    iterative            0.003 
292   4.730e+60    recursive_memoized   0.000 
292   4.730e+60    recursive_tail       0.007 
293   7.654e+60    iterative            0.003 
293   7.654e+60    recursive_memoized   0.000 
293   7.654e+60    recursive_tail       0.008 
294   1.238e+61    iterative            0.003 
294   1.238e+61    recursive_memoized   0.000 
294   1.238e+61    recursive_tail       0.007 
295   2.004e+61    iterative            0.003 
295   2.004e+61    recursive_memoized   0.000 
295   2.004e+61    recursive_tail       0.007 
296   3.242e+61    iterative            0.003 
296   3.242e+61    recursive_memoized   0.000 
296   3.242e+61    recursive_tail       0.007 
297   5.246e+61    iterative            0.003 
297   5.246e+61    recursive_memoized   0.000 
297   5.246e+61    recursive_tail       0.007 
298   8.489e+61    iterative            0.003 
298   8.489e+61    recursive_memoized   0.000 
298   8.489e+61    recursive_tail       0.007 
299   1.373e+62    iterative            0.003 
299   1.373e+62    recursive_memoized   0.000 
299   1.373e+62    recursive_tail       0.007 
300   2.222e+62    iterative            0.003 
300   2.222e+62    recursive_memoized   0.000 
300   2.222e+62    recursive_tail       0.007 
301   3.596e+62    iterative            0.003 
301   3.596e+62    recursive_memoized   0.000 
301   3.596e+62    recursive_tail       0.007 
302   5.818e+62    iterative            0.003 
302   5.818e+62    recursive_memoized   0.000 
302   5.818e+62    recursive_tail       0.007 
303   9.414e+62    iterative            0.003 
303   9.414e+62    recursive_memoized   0.000 
303   9.414e+62    recursive_tail       0.007 
304   1.523e+63    iterative            0.003 
304   1.523e+63    recursive_memoized   0.000 
304   1.523e+63    recursive_tail       0.007 
305   2.465e+63    iterative            0.003 
305   2.465e+63    recursive_memoized   0.000 
305   2.465e+63    recursive_tail       0.007 
306   3.988e+63    iterative            0.003 
306   3.988e+63    recursive_memoized   0.000 
306   3.988e+63    recursive_tail       0.007 
307   6.452e+63    iterative            0.003 
307   6.452e+63    recursive_memoized   0.000 
307   6.452e+63    recursive_tail       0.007 
308   1.044e+64    iterative            0.003 
308   1.044e+64    recursive_memoized   0.000 
308   1.044e+64    recursive_tail       0.007 
309   1.689e+64    iterative            0.003 
309   1.689e+64    recursive_memoized   0.000 
309   1.689e+64    recursive_tail       0.007 
310   2.733e+64    iterative            0.003 
310   2.733e+64    recursive_memoized   0.000 
310   2.733e+64    recursive_tail       0.007 
311   4.423e+64    iterative            0.003 
311   4.423e+64    recursive_memoized   0.000 
311   4.423e+64    recursive_tail       0.007 
312   7.156e+64    iterative            0.003 
312   7.156e+64    recursive_memoized   0.000 
312   7.156e+64    recursive_tail       0.007 
313   1.158e+65    iterative            0.003 
313   1.158e+65    recursive_memoized   0.000 
313   1.158e+65    recursive_tail       0.007 
314   1.873e+65    iterative            0.003 
314   1.873e+65    recursive_memoized   0.000 
314   1.873e+65    recursive_tail       0.007 
315   3.031e+65    iterative            0.003 
315   3.031e+65    recursive_memoized   0.000 
315   3.031e+65    recursive_tail       0.008 
316   4.905e+65    iterative            0.003 
316   4.905e+65    recursive_memoized   0.000 
316   4.905e+65    recursive_tail       0.008 
317   7.936e+65    iterative            0.003 
317   7.936e+65    recursive_memoized   0.000 
317   7.936e+65    recursive_tail       0.008 
318   1.284e+66    iterative            0.003 
318   1.284e+66    recursive_memoized   0.000 
318   1.284e+66    recursive_tail       0.008 
319   2.078e+66    iterative            0.003 
319   2.078e+66    recursive_memoized   0.000 
319   2.078e+66    recursive_tail       0.008 
320   3.362e+66    iterative            0.003 
320   3.362e+66    recursive_memoized   0.000 
320   3.362e+66    recursive_tail       0.008 
321   5.439e+66    iterative            0.003 
321   5.439e+66    recursive_memoized   0.000 
321   5.439e+66    recursive_tail       0.008 
322   8.801e+66    iterative            0.003 
322   8.801e+66    recursive_memoized   0.000 
322   8.801e+66    recursive_tail       0.008 
323   1.424e+67    iterative            0.003 
323   1.424e+67    recursive_memoized   0.000 
323   1.424e+67    recursive_tail       0.008 
324   2.304e+67    iterative            0.003 
324   2.304e+67    recursive_memoized   0.000 
324   2.304e+67    recursive_tail       0.008 
325   3.728e+67    iterative            0.003 
325   3.728e+67    recursive_memoized   0.000 
325   3.728e+67    recursive_tail       0.008 
326   6.032e+67    iterative            0.003 
326   6.032e+67    recursive_memoized   0.000 
326   6.032e+67    recursive_tail       0.008 
327   9.761e+67    iterative            0.003 
327   9.761e+67    recursive_memoized   0.000 
327   9.761e+67    recursive_tail       0.008 
328   1.579e+68    iterative            0.003 
328   1.579e+68    recursive_memoized   0.000 
328   1.579e+68    recursive_tail       0.008 
329   2.555e+68    iterative            0.003 
329   2.555e+68    recursive_memoized   0.000 
329   2.555e+68    recursive_tail       0.008 
330   4.135e+68    iterative            0.003 
330   4.135e+68    recursive_memoized   0.000 
330   4.135e+68    recursive_tail       0.008 
331   6.690e+68    iterative            0.003 
331   6.690e+68    recursive_memoized   0.000 
331   6.690e+68    recursive_tail       0.008 
332   1.082e+69    iterative            0.003 
332   1.082e+69    recursive_memoized   0.000 
332   1.082e+69    recursive_tail       0.008 
333   1.751e+69    iterative            0.003 
333   1.751e+69    recursive_memoized   0.000 
333   1.751e+69    recursive_tail       0.008 
334   2.834e+69    iterative            0.003 
334   2.834e+69    recursive_memoized   0.000 
334   2.834e+69    recursive_tail       0.008 
335   4.585e+69    iterative            0.003 
335   4.585e+69    recursive_memoized   0.000 
335   4.585e+69    recursive_tail       0.008 
336   7.419e+69    iterative            0.003 
336   7.419e+69    recursive_memoized   0.000 
336   7.419e+69    recursive_tail       0.008 
337   1.200e+70    iterative            0.003 
337   1.200e+70    recursive_memoized   0.000 
337   1.200e+70    recursive_tail       0.008 
338   1.942e+70    iterative            0.003 
338   1.942e+70    recursive_memoized   0.000 
338   1.942e+70    recursive_tail       0.008 
339   3.143e+70    iterative            0.003 
339   3.143e+70    recursive_memoized   0.000 
339   3.143e+70    recursive_tail       0.008 
340   5.085e+70    iterative            0.003 
340   5.085e+70    recursive_memoized   0.000 
340   5.085e+70    recursive_tail       0.008 
341   8.228e+70    iterative            0.003 
341   8.228e+70    recursive_memoized   0.000 
341   8.228e+70    recursive_tail       0.008 
342   1.331e+71    iterative            0.003 
342   1.331e+71    recursive_memoized   0.000 
342   1.331e+71    recursive_tail       0.008 
343   2.154e+71    iterative            0.003 
343   2.154e+71    recursive_memoized   0.000 
343   2.154e+71    recursive_tail       0.008 
344   3.485e+71    iterative            0.003 
344   3.485e+71    recursive_memoized   0.000 
344   3.485e+71    recursive_tail       0.008 
345   5.640e+71    iterative            0.003 
345   5.640e+71    recursive_memoized   0.000 
345   5.640e+71    recursive_tail       0.008 
346   9.125e+71    iterative            0.003 
346   9.125e+71    recursive_memoized   0.000 
346   9.125e+71    recursive_tail       0.008 
347   1.476e+72    iterative            0.003 
347   1.476e+72    recursive_memoized   0.000 
347   1.476e+72    recursive_tail       0.008 
348   2.389e+72    iterative            0.003 
348   2.389e+72    recursive_memoized   0.000 
348   2.389e+72    recursive_tail       0.008 
349   3.865e+72    iterative            0.003 
349   3.865e+72    recursive_memoized   0.000 
349   3.865e+72    recursive_tail       0.008 
350   6.254e+72    iterative            0.003 
350   6.254e+72    recursive_memoized   0.000 
350   6.254e+72    recursive_tail       0.008 
351   1.012e+73    iterative            0.003 
351   1.012e+73    recursive_memoized   0.000 
351   1.012e+73    recursive_tail       0.008 
352   1.637e+73    iterative            0.003 
352   1.637e+73    recursive_memoized   0.000 
352   1.637e+73    recursive_tail       0.008 
353   2.649e+73    iterative            0.003 
353   2.649e+73    recursive_memoized   0.000 
353   2.649e+73    recursive_tail       0.008 
354   4.287e+73    iterative            0.003 
354   4.287e+73    recursive_memoized   0.000 
354   4.287e+73    recursive_tail       0.008 
355   6.936e+73    iterative            0.003 
355   6.936e+73    recursive_memoized   0.000 
355   6.936e+73    recursive_tail       0.008 
356   1.122e+74    iterative            0.003 
356   1.122e+74    recursive_memoized   0.000 
356   1.122e+74    recursive_tail       0.008 
357   1.816e+74    iterative            0.003 
357   1.816e+74    recursive_memoized   0.000 
357   1.816e+74    recursive_tail       0.008 
358   2.938e+74    iterative            0.003 
358   2.938e+74    recursive_memoized   0.000 
358   2.938e+74    recursive_tail       0.009 
359   4.754e+74    iterative            0.004 
359   4.754e+74    recursive_memoized   0.000 
359   4.754e+74    recursive_tail       0.009 
360   7.692e+74    iterative            0.003 
360   7.692e+74    recursive_memoized   0.000 
360   7.692e+74    recursive_tail       0.008 
361   1.245e+75    iterative            0.004 
361   1.245e+75    recursive_memoized   0.000 
361   1.245e+75    recursive_tail       0.008 
362   2.014e+75    iterative            0.003 
362   2.014e+75    recursive_memoized   0.000 
362   2.014e+75    recursive_tail       0.009 
363   3.259e+75    iterative            0.004 
363   3.259e+75    recursive_memoized   0.000 
363   3.259e+75    recursive_tail       0.009 
364   5.272e+75    iterative            0.004 
364   5.272e+75    recursive_memoized   0.000 
364   5.272e+75    recursive_tail       0.009 
365   8.531e+75    iterative            0.004 
365   8.531e+75    recursive_memoized   0.000 
365   8.531e+75    recursive_tail       0.009 
366   1.380e+76    iterative            0.004 
366   1.380e+76    recursive_memoized   0.000 
366   1.380e+76    recursive_tail       0.009 
367   2.233e+76    iterative            0.004 
367   2.233e+76    recursive_memoized   0.000 
367   2.233e+76    recursive_tail       0.009 
368   3.614e+76    iterative            0.004 
368   3.614e+76    recursive_memoized   0.000 
368   3.614e+76    recursive_tail       0.009 
369   5.847e+76    iterative            0.004 
369   5.847e+76    recursive_memoized   0.000 
369   5.847e+76    recursive_tail       0.009 
370   9.461e+76    iterative            0.004 
370   9.461e+76    recursive_memoized   0.000 
370   9.461e+76    recursive_tail       0.009 
371   1.531e+77    iterative            0.004 
371   1.531e+77    recursive_memoized   0.000 
371   1.531e+77    recursive_tail       0.009 
372   2.477e+77    iterative            0.004 
372   2.477e+77    recursive_memoized   0.000 
372   2.477e+77    recursive_tail       0.009 
373   4.008e+77    iterative            0.004 
373   4.008e+77    recursive_memoized   0.000 
373   4.008e+77    recursive_tail       0.009 
374   6.485e+77    iterative            0.004 
374   6.485e+77    recursive_memoized   0.000 
374   6.485e+77    recursive_tail       0.009 
375   1.049e+78    iterative            0.004 
375   1.049e+78    recursive_memoized   0.000 
375   1.049e+78    recursive_tail       0.009 
376   1.698e+78    iterative            0.004 
376   1.698e+78    recursive_memoized   0.000 
376   1.698e+78    recursive_tail       0.009 
377   2.747e+78    iterative            0.004 
377   2.747e+78    recursive_memoized   0.000 
377   2.747e+78    recursive_tail       0.010 
378   4.445e+78    iterative            0.004 
378   4.445e+78    recursive_memoized   0.000 
378   4.445e+78    recursive_tail       0.010 
379   7.192e+78    iterative            0.004 
379   7.192e+78    recursive_memoized   0.000 
379   7.192e+78    recursive_tail       0.009 
380   1.164e+79    iterative            0.004 
380   1.164e+79    recursive_memoized   0.000 
380   1.164e+79    recursive_tail       0.009 
381   1.883e+79    iterative            0.004 
381   1.883e+79    recursive_memoized   0.000 
381   1.883e+79    recursive_tail       0.009 
382   3.046e+79    iterative            0.004 
382   3.046e+79    recursive_memoized   0.000 
382   3.046e+79    recursive_tail       0.009 
383   4.929e+79    iterative            0.004 
383   4.929e+79    recursive_memoized   0.000 
383   4.929e+79    recursive_tail       0.009 
384   7.976e+79    iterative            0.004 
384   7.976e+79    recursive_memoized   0.000 
384   7.976e+79    recursive_tail       0.009 
385   1.290e+80    iterative            0.004 
385   1.290e+80    recursive_memoized   0.000 
385   1.290e+80    recursive_tail       0.010 
386   2.088e+80    iterative            0.004 
386   2.088e+80    recursive_memoized   0.000 
386   2.088e+80    recursive_tail       0.010 
387   3.379e+80    iterative            0.004 
387   3.379e+80    recursive_memoized   0.000 
387   3.379e+80    recursive_tail       0.010 
388   5.467e+80    iterative            0.004 
388   5.467e+80    recursive_memoized   0.000 
388   5.467e+80    recursive_tail       0.010 
389   8.845e+80    iterative            0.004 
389   8.845e+80    recursive_memoized   0.000 
389   8.845e+80    recursive_tail       0.010 
390   1.431e+81    iterative            0.004 
390   1.431e+81    recursive_memoized   0.000 
390   1.431e+81    recursive_tail       0.010 
391   2.316e+81    iterative            0.004 
391   2.316e+81    recursive_memoized   0.000 
391   2.316e+81    recursive_tail       0.010 
392   3.747e+81    iterative            0.004 
392   3.747e+81    recursive_memoized   0.000 
392   3.747e+81    recursive_tail       0.010 
393   6.063e+81    iterative            0.004 
393   6.063e+81    recursive_memoized   0.000 
393   6.063e+81    recursive_tail       0.010 
394   9.809e+81    iterative            0.004 
394   9.809e+81    recursive_memoized   0.000 
394   9.809e+81    recursive_tail       0.010 
395   1.587e+82    iterative            0.004 
395   1.587e+82    recursive_memoized   0.000 
395   1.587e+82    recursive_tail       0.010 
396   2.568e+82    iterative            0.004 
396   2.568e+82    recursive_memoized   0.000 
396   2.568e+82    recursive_tail       0.010 
397   4.155e+82    iterative            0.004 
397   4.155e+82    recursive_memoized   0.000 
397   4.155e+82    recursive_tail       0.010 
398   6.724e+82    iterative            0.004 
398   6.724e+82    recursive_memoized   0.000 
398   6.724e+82    recursive_tail       0.010 
399   1.088e+83    iterative            0.004 
399   1.088e+83    recursive_memoized   0.000 
399   1.088e+83    recursive_tail       0.010 
400   1.760e+83    iterative            0.004 
400   1.760e+83    recursive_memoized   0.000 
400   1.760e+83    recursive_tail       0.010 
401   2.848e+83    iterative            0.004 
401   2.848e+83    recursive_memoized   0.000 
401   2.848e+83    recursive_tail       0.010 
402   4.608e+83    iterative            0.004 
402   4.608e+83    recursive_memoized   0.000 
402   4.608e+83    recursive_tail       0.010 
403   7.456e+83    iterative            0.004 
403   7.456e+83    recursive_memoized   0.000 
403   7.456e+83    recursive_tail       0.010 
404   1.206e+84    iterative            0.004 
404   1.206e+84    recursive_memoized   0.000 
404   1.206e+84    recursive_tail       0.010 
405   1.952e+84    iterative            0.004 
405   1.952e+84    recursive_memoized   0.000 
405   1.952e+84    recursive_tail       0.010 
406   3.159e+84    iterative            0.004 
406   3.159e+84    recursive_memoized   0.000 
406   3.159e+84    recursive_tail       0.010 
407   5.111e+84    iterative            0.004 
407   5.111e+84    recursive_memoized   0.000 
407   5.111e+84    recursive_tail       0.010 
408   8.269e+84    iterative            0.004 
408   8.269e+84    recursive_memoized   0.000 
408   8.269e+84    recursive_tail       0.010 
409   1.338e+85    iterative            0.004 
409   1.338e+85    recursive_memoized   0.000 
409   1.338e+85    recursive_tail       0.010 
410   2.165e+85    iterative            0.004 
410   2.165e+85    recursive_memoized   0.000 
410   2.165e+85    recursive_tail       0.010 
411   3.503e+85    iterative            0.004 
411   3.503e+85    recursive_memoized   0.000 
411   3.503e+85    recursive_tail       0.010 
412   5.668e+85    iterative            0.004 
412   5.668e+85    recursive_memoized   0.000 
412   5.668e+85    recursive_tail       0.010 
413   9.171e+85    iterative            0.004 
413   9.171e+85    recursive_memoized   0.000 
413   9.171e+85    recursive_tail       0.010 
414   1.484e+86    iterative            0.004 
414   1.484e+86    recursive_memoized   0.000 
414   1.484e+86    recursive_tail       0.010 
415   2.401e+86    iterative            0.004 
415   2.401e+86    recursive_memoized   0.000 
415   2.401e+86    recursive_tail       0.010 
416   3.885e+86    iterative            0.004 
416   3.885e+86    recursive_memoized   0.000 
416   3.885e+86    recursive_tail       0.010 
417   6.286e+86    iterative            0.004 
417   6.286e+86    recursive_memoized   0.000 
417   6.286e+86    recursive_tail       0.011 
418   1.017e+87    iterative            0.004 
418   1.017e+87    recursive_memoized   0.000 
418   1.017e+87    recursive_tail       0.010 
419   1.646e+87    iterative            0.004 
419   1.646e+87    recursive_memoized   0.000 
419   1.646e+87    recursive_tail       0.011 
420   2.663e+87    iterative            0.004 
420   2.663e+87    recursive_memoized   0.000 
420   2.663e+87    recursive_tail       0.011 
421   4.308e+87    iterative            0.004 
421   4.308e+87    recursive_memoized   0.000 
421   4.308e+87    recursive_tail       0.011 
422   6.971e+87    iterative            0.004 
422   6.971e+87    recursive_memoized   0.000 
422   6.971e+87    recursive_tail       0.011 
423   1.128e+88    iterative            0.004 
423   1.128e+88    recursive_memoized   0.000 
423   1.128e+88    recursive_tail       0.011 
424   1.825e+88    iterative            0.004 
424   1.825e+88    recursive_memoized   0.000 
424   1.825e+88    recursive_tail       0.011 
425   2.953e+88    iterative            0.004 
425   2.953e+88    recursive_memoized   0.000 
425   2.953e+88    recursive_tail       0.011 
426   4.778e+88    iterative            0.004 
426   4.778e+88    recursive_memoized   0.000 
426   4.778e+88    recursive_tail       0.011 
427   7.731e+88    iterative            0.004 
427   7.731e+88    recursive_memoized   0.000 
427   7.731e+88    recursive_tail       0.011 
428   1.251e+89    iterative            0.005 
428   1.251e+89    recursive_memoized   0.000 
428   1.251e+89    recursive_tail       0.012 
429   2.024e+89    iterative            0.005 
429   2.024e+89    recursive_memoized   0.000 
429   2.024e+89    recursive_tail       0.012 
430   3.275e+89    iterative            0.004 
430   3.275e+89    recursive_memoized   0.000 
430   3.275e+89    recursive_tail       0.011 
431   5.299e+89    iterative            0.004 
431   5.299e+89    recursive_memoized   0.000 
431   5.299e+89    recursive_tail       0.011 
432   8.574e+89    iterative            0.004 
432   8.574e+89    recursive_memoized   0.000 
432   8.574e+89    recursive_tail       0.011 
433   1.387e+90    iterative            0.004 
433   1.387e+90    recursive_memoized   0.000 
433   1.387e+90    recursive_tail       0.011 
434   2.245e+90    iterative            0.004 
434   2.245e+90    recursive_memoized   0.000 
434   2.245e+90    recursive_tail       0.011 
435   3.632e+90    iterative            0.004 
435   3.632e+90    recursive_memoized   0.000 
435   3.632e+90    recursive_tail       0.011 
436   5.877e+90    iterative            0.004 
436   5.877e+90    recursive_memoized   0.000 
436   5.877e+90    recursive_tail       0.011 
437   9.509e+90    iterative            0.005 
437   9.509e+90    recursive_memoized   0.000 
437   9.509e+90    recursive_tail       0.011 
438   1.539e+91    iterative            0.004 
438   1.539e+91    recursive_memoized   0.000 
438   1.539e+91    recursive_tail       0.011 
439   2.489e+91    iterative            0.004 
439   2.489e+91    recursive_memoized   0.000 
439   2.489e+91    recursive_tail       0.011 
440   4.028e+91    iterative            0.005 
440   4.028e+91    recursive_memoized   0.000 
440   4.028e+91    recursive_tail       0.011 
441   6.517e+91    iterative            0.004 
441   6.517e+91    recursive_memoized   0.000 
441   6.517e+91    recursive_tail       0.011 
442   1.055e+92    iterative            0.004 
442   1.055e+92    recursive_memoized   0.000 
442   1.055e+92    recursive_tail       0.011 
443   1.706e+92    iterative            0.004 
443   1.706e+92    recursive_memoized   0.000 
443   1.706e+92    recursive_tail       0.012 
444   2.761e+92    iterative            0.005 
444   2.761e+92    recursive_memoized   0.000 
444   2.761e+92    recursive_tail       0.011 
445   4.467e+92    iterative            0.005 
445   4.467e+92    recursive_memoized   0.000 
445   4.467e+92    recursive_tail       0.011 
446   7.228e+92    iterative            0.004 
446   7.228e+92    recursive_memoized   0.000 
446   7.228e+92    recursive_tail       0.012 
447   1.169e+93    iterative            0.005 
447   1.169e+93    recursive_memoized   0.000 
447   1.169e+93    recursive_tail       0.011 
448   1.892e+93    iterative            0.005 
448   1.892e+93    recursive_memoized   0.000 
448   1.892e+93    recursive_tail       0.011 
449   3.062e+93    iterative            0.004 
449   3.062e+93    recursive_memoized   0.000 
449   3.062e+93    recursive_tail       0.011 
450   4.954e+93    iterative            0.004 
450   4.954e+93    recursive_memoized   0.000 
450   4.954e+93    recursive_tail       0.011 
451   8.016e+93    iterative            0.005 
451   8.016e+93    recursive_memoized   0.000 
451   8.016e+93    recursive_tail       0.011 
452   1.297e+94    iterative            0.005 
452   1.297e+94    recursive_memoized   0.000 
452   1.297e+94    recursive_tail       0.011 
453   2.099e+94    iterative            0.005 
453   2.099e+94    recursive_memoized   0.000 
453   2.099e+94    recursive_tail       0.011 
454   3.395e+94    iterative            0.005 
454   3.395e+94    recursive_memoized   0.000 
454   3.395e+94    recursive_tail       0.012 
455   5.494e+94    iterative            0.005 
455   5.494e+94    recursive_memoized   0.000 
455   5.494e+94    recursive_tail       0.012 
456   8.890e+94    iterative            0.005 
456   8.890e+94    recursive_memoized   0.000 
456   8.890e+94    recursive_tail       0.012 
457   1.438e+95    iterative            0.005 
457   1.438e+95    recursive_memoized   0.000 
457   1.438e+95    recursive_tail       0.012 
458   2.327e+95    iterative            0.005 
458   2.327e+95    recursive_memoized   0.000 
458   2.327e+95    recursive_tail       0.012 
459   3.766e+95    iterative            0.005 
459   3.766e+95    recursive_memoized   0.000 
459   3.766e+95    recursive_tail       0.012 
460   6.093e+95    iterative            0.005 
460   6.093e+95    recursive_memoized   0.000 
460   6.093e+95    recursive_tail       0.012 
461   9.859e+95    iterative            0.005 
461   9.859e+95    recursive_memoized   0.000 
461   9.859e+95    recursive_tail       0.013 
462   1.595e+96    iterative            0.005 
462   1.595e+96    recursive_memoized   0.000 
462   1.595e+96    recursive_tail       0.013 
463   2.581e+96    iterative            0.005 
463   2.581e+96    recursive_memoized   0.000 
463   2.581e+96    recursive_tail       0.013 
464   4.176e+96    iterative            0.005 
464   4.176e+96    recursive_memoized   0.000 
464   4.176e+96    recursive_tail       0.013 
465   6.757e+96    iterative            0.005 
